id,distance,height,landings,number,pack,age,usage,region,weight,item,volume,width,max,power,size,target
354,3684,16826.3344,42142.28806,2101.63431,59487.6633,18530.5388,3415.35894,RE-5,4279,IT-B,42485,20345.266,10811,7263,1475,-24.57532252471058
355,5575,5648.5985,1401.7285,51071.3014,51875.6224,32508.2231,23558.07157,RE-2,2342,IT-0,33840,14316.976,15349,16783,1107,-65.53682034598692
356,3756,16044.7023,27298.63586,60110.99576,48517.0434,21195.3929,37120.00197,RE-11,4478,IT-F,50284,19708.743,27912,20095,1122,9.818016381032338
357,4353,2463.1653,24853.31941,43398.65082,59138.8766,33519.244,28220.84965,RE-4,4208,IT-6,46547,32665.517,30682,17568,1327,-0.8759628469252512
358,4455,9545.4641,2423.87935,49564.72711,64184.9134,11504.1971,37423.73162,RE-7,4532,IT-8,61755,20469.259,31215,23612,1676,15.87387520647456
359,4627,14705.7893,14748.9587,41368.86844,42902.0718,43645.5909,36244.97243,RE-2,1301,IT-6,42022,34577.642,1852,23898,1248,14.798510088736402
360,3773,13815.7901,30884.08557,1026.49456,60018.348,51227.3664,22732.01292,RE-D,2818,IT-2,51140,31140.374,8776,8760,1515,-11.181140038288177
361,3991,9195.918,12267.56782,52722.23215,34861.4836,72709.0,25145.06202,RE-4,3664,IT-B,49087,26239.689,4267,11694,1292,-32.38885900566717
362,5367,4170.5661,27630.21517,13373.06369,40117.494,58617.3734,28046.68969,RE-8,3791,IT-E,20574,15292.973,25895,11161,1226,-69.44729917063188
363,6153,16565.4771,28380.86189,2288.17127,59867.3568,36521.3784,33183.6994,RE-D,602,IT-C,70110,18637.001,7527,17606,987,-5.949678904628158
364,5090,6185.6066,5223.83875,53970.27091,45877.1723,32009.9292,47909.21657,RE-C,525,IT-D,67932,20544.206,26671,14073,1207,3.6287056593315716
365,5559,18218.799,30548.45916,16074.31173,62882.6368,64960.4869,22645.27812,RE-0,795,IT-13,46225,20923.048,5455,22271,629,-33.9473475431826
366,7083,4141.4032,1435.58581,60040.23779,49249.8346,20519.4304,23917.32028,RE-0,3063,IT-6,37797,22313.039,17992,11907,1479,-27.058621960705974
367,3159,17570.7092,41800.93663,13643.50436,18720.3276,18223.6806,36255.96609,RE-8,2469,IT-F,34950,32814.229,2164,15004,1209,10.205205631570102
368,4963,3379.3037,18540.79237,12031.51097,46610.3461,46965.8868,39092.53957,RE-7,3769,IT-1,45230,NA,817,17907,1125,-19.084372335922374
369,4131,17333.4967,33158.44673,2158.60277,63838.6216,37356.8984,7302.98765,RE-9,609,IT-6,15575,18065.27,5972,21988,1280,-44.170075537182385
370,3845,15279.6859,41086.22302,4437.36336,59658.5209,36426.7764,42588.76313,RE-E,4039,IT-0,30563,30201.579,20576,13434,1271,-1.339500825648149
371,4071,10076.5806,38049.64375,48597.64832,47559.2163,28509.7872,54557.74089,RE-C,2910,IT-7,27803,22816.354,457,25831,1166,-6.1909076644700685
372,5683,4174.1974,17581.6461,24122.18014,34122.4927,48844.7522,27354.8028,RE-C,1518,IT-5,39563,32526.647,17696,15093,1441,-19.854846124813825
373,5285,18169.8476,13027.0929,12743.51128,44495.9242,27954.5519,31656.25308,RE-9,3879,IT-D,21915,24976.315,31681,8604,1099,-26.094561218559978
374,5895,14388.364,8022.27851,48978.25298,46589.9049,43092.5177,34428.75411,RE-1,2749,IT-7,66793,27230.432,18610,17263,802,-3.341148151046834
375,5809,12423.1391,6896.37413,52286.47604,20639.1444,41991.1272,32199.88467,RE-10,2341,IT-D,24208,37865.458,26586,16205,1748,51.89702913450239
376,6685,7793.5016,16142.45717,40923.79736,62904.6368,26908.7126,37936.84453,RE-E,4250,IT-6,37333,27153.585,3999,14046,1584,-15.36631537222047
377,4581,2431.2323,43809.27513,49392.09352,57223.7989,37583.0774,37561.56422,RE-10,4800,IT-C,35598,23868.493,9682,14511,1163,-26.96844477735966
378,4154,4570.2216,44164.29693,50436.32569,36740.3992,39143.8626,36600.50056,RE-9,4679,IT-D,54700,37132.843,32163,11942,1034,16.318895566126553
379,6041,12957.7685,23075.77827,19778.35202,49480.2256,38916.5105,36001.68961,RE-11,1942,IT-4,46127,31004.516,11075,15026,1520,13.972743699419246
380,3864,15219.1416,32455.7806,16086.86445,55073.513,35151.5583,27819.1272,RE-11,4677,IT-4,30562,33591.411,33107,14164,1583,22.902848300995412
381,3134,14873.4348,1891.32966,26511.82548,52055.363,34629.4757,34810.39245,RE-6,1379,IT-8,30000,28356.959,5216,20930,1134,-18.387495537417514
382,4262,11802.3588,1101.65291,2770.63937,36092.9288,29735.6887,43161.21533,RE-A,4225,IT-D,70285,27694.854,28822,10902,1359,28.773416201143235
383,4827,5646.6716,10135.6365,38250.52967,42735.7931,27897.6121,61817.0,RE-A,3813,IT-10,47588,NA,8752,24719,1471,27.002036909555997
384,1994,6864.5461,19419.83848,36459.14526,52106.7665,37005.1319,15884.30244,RE-7,729,IT-2,74269,20913.4,18050,10830,1423,-23.44932557218412
385,2825,4575.4716,24620.27105,11448.08687,32544.065,34982.8297,40795.76744,RE-10,1180,IT-1,76385,29295.822,21685,17297,1461,21.798215293596574
386,5205,16333.1294,42131.27167,25569.76523,47504.814,26995.8931,34601.28326,RE-A,1919,IT-4,59749,20011.349,7927,20708,1254,-0.036251832954650176
387,5573,9865.4352,37395.11898,36588.47473,48036.7601,53608.2282,24278.07329,RE-D,702,IT-F,34423,26159.423,26799,9817,1277,-14.945677944171718
388,2729,15373.405,15315.83361,4436.59075,46521.5331,27193.8958,36241.79719,RE-11,1596,IT-11,32567,42284.124,32187,15398,1799,57.75021325554577
389,4726,18355.0614,16276.33103,29058.54227,26239.1496,32235.6957,40919.13642,RE-6,3400,IT-C,39424,19817.843,7082,12838,1360,6.962938430424677
390,4013,5810.562,23610.84464,59073.73063,781.0,49692.9751,31998.68914,RE-D,3976,IT-11,22347,38183.359,23946,18137,1403,51.226009846847184
391,6797,14911.6655,26378.91752,39782.09327,46589.1074,24584.3012,29298.32257,RE-9,3958,IT-13,9583,23112.656,15260,17192,1130,34.02671190508606
392,3136,7444.4132,36756.13278,35036.11062,16384.5737,48420.5896,39201.61405,RE-3,3803,IT-6,66790,NA,7902,14369,1407,26.334645870033533
393,5050,12268.6844,2473.27361,28471.2169,54729.7494,30412.0012,32024.06622,RE-C,1252,IT-12,56945,21356.741,13144,13087,1611,4.724764053577804
394,7134,10920.7167,41191.15243,18127.09709,74019.2969,39175.7076,903.0267,RE-9,2718,IT-5,30055,25723.352,7899,13606,894,-70.67172704888726
395,4467,14907.2632,5411.7692,15591.18615,71414.8815,43230.7203,36929.33393,RE-E,1405,IT-12,49558,32963.824,20299,13831,1451,28.491355372799276
396,4811,18640.0851,17510.3201,26596.86323,64049.4901,34607.6858,36022.47748,RE-3,3576,IT-1,48479,30864.45,28086,21324,1375,24.182680562052642
397,5905,1721.5531,29659.99082,42398.77409,29049.9599,53313.5438,42270.73966,RE-7,3233,IT-3,32223,29926.006,3624,15115,895,-35.29896053518337
398,6994,8917.4129,35206.12075,5060.7546,53937.3115,45309.5601,24432.19943,RE-11,2720,IT-C,47891,32213.873,16277,12647,938,-22.324229286943506
399,4666,13412.8538,35275.13768,30737.8822,52087.5503,36673.3316,40026.0183,RE-10,4610,IT-A,33154,32236.105,12470,17344,1506,23.796708014241705
400,6905,14611.7073,36059.48972,22705.65057,50789.6608,50847.5449,24305.10615,RE-6,3384,IT-D,29940,26065.753,23956,15067,1353,-1.0262825174490953
401,7927,17813.5256,30146.06455,26515.13721,58306.7839,55083.8994,37922.33819,RE-8,3229,IT-13,34565,21350.783,27852,16351,1836,59.2927767530649
402,4571,17578.7437,5170.00379,8186.5888,69686.1642,41047.2814,21149.64369,RE-4,510,IT-2,42231,19505.63,18062,13257,1326,-32.22969737396621
403,1744,2644.29,26325.53493,44478.6734,39034.8835,50029.962,34251.62777,RE-11,4711,IT-0,7809,NA,3028,23679,1555,-16.610648749441935
404,3194,17515.9294,35534.45846,45628.59187,42242.889,26327.4134,26062.29931,RE-7,2618,IT-1,44293,22780.377,28451,14809,1468,15.87404670912597
405,3643,14148.0004,29931.39998,8048.07143,48557.3787,8123.8217,19885.20985,RE-10,2327,IT-8,59368,29048.827,1014,22886,1739,32.29331011473654
406,5718,17251.3771,26732.7524,34139.50384,40389.9935,34139.4947,32859.86747,RE-D,974,IT-6,50815,16739.133,29809,13925,1330,5.043433716908977
407,9429,5884.1274,22767.96923,51569.24684,48349.857,26278.7514,30888.68851,RE-9,3176,IT-E,48315,25168.293,15651,4373,1087,-63.20100612304559
408,7436,14842.2642,12517.58566,14404.07862,18033.3411,28919.2941,29424.23794,RE-4,4516,IT-5,84342,26442.06,12854,22536,1509,84.50651603646357
409,5672,12665.2523,15944.38589,44210.76481,51628.4636,33733.565,41778.09554,RE-F,2157,IT-11,39849,NA,33438,14786,1360,31.272863209340038
410,5545,4559.2764,27023.41243,7381.01808,55259.8088,24229.3079,25065.76289,RE-F,1218,IT-12,47462,26198.106,8964,18549,1376,-1.185727583938129
411,4352,7969.677,3718.27513,5601.98205,52483.1228,54028.632,47386.91959,RE-F,3723,IT-6,57707,NA,19882,11109,1640,29.133245382128848
412,5277,17098.2652,18156.08206,38332.95286,65488.6059,19843.4133,30644.20433,RE-4,2215,IT-1,41185,18401.425,22690,14729,1434,-86.03143055854997
413,5004,9205.8699,6668.5315,39241.39572,29980.8105,46822.7987,50176.47207,RE-11,1967,IT-F,48544,41814.59,11904,23278,1395,53.50068896759233
414,3947,8371.5727,31214.25127,28885.89571,26548.6146,32637.9645,17664.94034,RE-4,1402,IT-A,71341,29705.942,23856,18694,1291,18.5036205244323
415,3945,9858.1445,2880.86769,1506.3495,39184.5876,44142.0598,24039.91562,RE-D,2709,IT-A,49428,38000.65,5842,12870,1528,5.240287954013477
416,3641,12423.5142,39854.83608,49113.02135,29286.9948,31139.0733,42195.65029,RE-11,3925,IT-10,53292,31668.891,33397,16138,1923,79.53147401983351
417,6453,18082.0126,26187.8145,28828.26377,36998.6172,43466.176,27467.22724,RE-E,525,IT-12,54761,32237.883,22534,17753,1280,33.27290625395045
418,5889,15124.9577,10616.66411,13562.22354,46785.5531,32442.659,30864.18338,RE-C,4283,IT-9,38259,24060.971,14446,24448,1458,1.221167704359758
419,3962,6272.1418,28975.36188,54075.22384,35913.6173,59768.764,33433.22211,RE-2,1074,IT-4,66775,23112.135,21713,8640,1016,-0.7412272897537306
420,3301,2817.8561,15662.27275,2131.1542,40564.9267,24446.6878,15797.81137,RE-D,3071,IT-5,71518,26109.716,19062,18597,1689,6.692273103118351
421,6670,15108.6462,4294.75039,48895.37549,35376.9883,41341.5559,24240.54296,RE-2,2459,IT-10,71234,NA,27283,14088,1276,18.099899680938435
422,5974,13378.9467,17700.5215,49756.76581,60025.2242,26128.5294,33584.05212,RE-2,4296,IT-0,47218,23629.564,7882,20182,1168,-29.624969338084025
423,4297,8942.1417,12654.8753,50053.15686,39137.274,51843.9862,40316.20995,RE-F,888,IT-3,55773,28834.529,17220,16341,1429,16.121582325248582
424,4720,18011.3922,13265.94883,60033.76911,27739.4475,41566.0324,11317.26735,RE-9,2877,IT-0,27749,35550.895,1040,14144,1565,-5.254988865306446
425,1987,7362.7548,18315.15554,61028.5439,39671.543,22069.8661,26730.13896,RE-0,2295,IT-B,43392,21271.249,6313,13300,1461,-8.436109204664218
426,7332,12835.1472,7601.23896,20263.66038,30460.2193,35297.886,25786.53889,RE-9,3897,IT-A,79607,16889.655,17678,22183,1416,24.53160579951731
427,7720,9339.6018,16104.14828,11554.2435,54386.9693,56502.9298,41157.17955,RE-9,2156,IT-10,22847,29185.989,23874,13003,1857,35.711920742690545
428,2294,15637.3738,16961.02022,52510.97917,39435.6159,40255.8804,33241.31449,RE-5,804,IT-8,37456,33250.127,16479,20715,1172,13.833890494250143
429,6977,13811.508,37073.95438,25373.23891,30971.9336,43595.2544,43206.9995,RE-7,3426,IT-0,31739,22225.236,20816,19720,1216,3.5215717714772508
430,7048,4406.0988,27263.71836,55470.30661,42537.0327,46060.6791,25093.68496,RE-7,1207,IT-6,39993,31944.235,19869,14038,1208,-23.90378167694338
431,4643,17458.6828,33846.12156,24994.40078,45718.9291,50976.6383,37915.96683,RE-8,4336,IT-13,52287,NA,16348,23735,1413,60.61940461125933
432,2887,9699.5521,24357.16576,23437.25617,42282.407,25109.5886,21783.45278,RE-1,4591,IT-10,42360,25556.718,30705,9817,1157,-8.256220418087771
433,7088,3249.0771,11573.5759,23970.15624,45335.1735,32594.81,29197.24715,RE-7,784,IT-7,29369,21066.951,28331,9058,1517,-15.557291527873073
434,4064,17829.0742,16202.30005,15872.06488,38267.2524,49111.7004,20476.77396,RE-2,4949,IT-13,51023,33624.53,14765,5705,1470,21.702856495547792
435,6546,18174.551,4614.66153,27049.75057,39804.329,24275.2157,29595.80054,RE-2,4247,IT-4,42393,27506.752,27269,19008,1173,95.35318209242125
436,7132,14786.0267,4566.82154,11426.95536,65146.7683,29717.5083,21658.62772,RE-8,4677,IT-C,55833,31905.938,31269,12576,1210,7.010544075919157
437,4736,10909.4862,2779.2375,42029.59937,22424.6467,26039.1209,26668.80893,RE-A,2650,IT-F,42314,23589.634,32829,11224,1208,6.437911945793399
438,4746,8575.7669,5449.83826,21984.79059,54725.2956,38216.8937,37743.94485,RE-F,1858,IT-0,14168,17550.255,28856,19149,1606,-20.427013158952082
439,4831,1592.689,25067.86417,32570.1511,41844.8701,25843.7559,37288.40522,RE-F,560,IT-D,49098,26100.088,8191,14094,1038,-33.998132545227804
440,2537,5905.8139,28012.01997,1126.61704,45440.1892,25616.4373,38229.318,RE-B,1564,IT-9,81694,23580.895,804,11605,1415,-4.0688127930807765
441,5874,14799.958,14892.03571,30424.39408,39253.0438,31080.0102,36105.55316,RE-3,1113,IT-5,61610,NA,19287,13431,1002,6.420228072037146
442,6697,13541.6856,17525.57477,60111.66994,42461.4148,48592.5541,27015.58817,RE-E,4867,IT-5,19388,NA,26098,26276,1027,-24.612928172638235
443,6316,8062.9974,30046.41847,38747.82736,38263.9249,43537.1098,25224.67718,RE-6,2912,IT-5,37745,30633.108,8512,21125,1489,-1.631719134902566
444,4218,14143.439,33411.16557,53448.58936,41874.1629,62226.8301,28332.97987,RE-B,775,IT-10,37655,32850.526,18111,12160,1260,-29.946812779501563
445,6234,15325.949,13246.5337,17858.65117,29499.4517,24503.964,42559.19536,RE-6,1946,IT-3,62494,NA,30743,16691,1180,41.41999951718249
446,5272,3860.2891,16145.64706,59722.79579,56201.1876,33206.0481,22976.81085,RE-3,4487,IT-5,52009,24921.392,27296,12825,1692,-3.5728818872738275
447,7330,7307.1674,25097.82565,26700.83037,42323.4443,34203.1209,29539.27869,RE-9,3006,IT-10,47865,24766.994,6151,21572,1166,10.13169029847405
448,3581,9026.8417,32377.31755,43716.76888,26401.3439,26137.6708,19166.43309,RE-6,837,IT-13,49082,25685.243,17900,17328,1142,2.0391228339060063
449,4285,17896.0657,40503.61841,16329.80567,30928.2974,52489.3304,21763.32059,RE-4,2773,IT-7,65999,23660.889,28024,17388,1448,31.359312608207553
450,5250,12536.4554,37988.26616,3246.571,36442.4131,23146.2057,33902.87953,RE-11,1720,IT-E,50215,38786.108,20001,17443,1554,39.02434703222235
451,7139,17617.3457,38400.14751,19630.23557,55399.4624,19296.4581,28113.93132,RE-6,1155,IT-3,36274,22470.874,5849,16955,1088,-0.8639870247951418
452,5518,14999.5795,33474.85423,36367.01469,54456.1792,34270.89,17745.31126,RE-D,4582,IT-10,39030,29224.588,12547,22586,1288,11.409102508911644
453,3725,15030.5732,16298.10863,43132.02997,58873.2044,51720.1114,33969.33322,RE-F,4249,IT-11,61263,NA,7923,14896,1403,41.125182781520415
454,8754,7792.1379,4734.07818,9033.91243,59976.4188,35516.1427,41369.14408,RE-2,1112,IT-4,37635,29797.653,25405,6756,1197,-26.770299683879003
455,5062,15560.8024,33785.87526,40573.03645,49440.7997,32216.0203,32960.22725,RE-11,2152,IT-1,20288,23820.459,8315,16849,1264,-27.422910957052892
456,6268,5245.6738,34507.12275,18693.77634,40687.2036,33455.933,34446.15345,RE-D,4817,IT-10,31508,NA,18055,18266,1491,10.919582169091637
457,5468,2358.9309,32294.47339,18739.25909,52310.6913,38601.2233,46667.11777,RE-D,2605,IT-9,36185,30352.41,25979,20989,1337,8.258924195310659
458,5574,14161.9684,19434.44471,56414.87327,39243.031,15522.45,17762.38861,RE-1,1863,IT-8,44588,22367.027,5164,26812,1307,-2.084176561456058
459,6568,6350.5197,34376.7361,43373.65708,24889.9293,38181.6295,19835.2353,RE-3,1898,IT-3,70400,21154.001,13703,17218,1579,6.305252355333112
460,6648,5821.311,10426.20163,14011.59868,63354.2262,33796.3923,18032.05612,RE-4,4930,IT-0,51386,NA,3922,14669,1418,-33.097457505831656
461,5925,9896.5493,25157.78495,40846.92285,18347.7717,41715.9264,20864.26373,RE-0,1513,IT-5,33354,23696.572,17820,14097,1338,-17.26237148863678
462,5509,11197.9668,34410.67239,5388.24215,12156.8886,51082.5019,22013.99358,RE-E,917,IT-9,42133,26983.096,12753,11070,1445,-0.30711176220457226
463,4669,1904.4373,27907.80667,2304.31353,10809.5552,29320.2525,27237.9087,RE-E,4842,IT-A,34588,26068.773,7923,21381,1391,0.15007099124890644
464,6390,11495.7156,28635.79642,15785.45722,60971.9816,65665.3694,18477.96169,RE-E,523,IT-B,26096,23370.441,22091,26741,1498,-2.474021177706499
465,6182,8003.853,8132.62355,20080.05395,50498.0022,42621.47,36984.18392,RE-2,703,IT-11,67588,37792.422,6193,14771,1476,32.72222753151257
466,4190,15464.5544,35367.12505,26254.73812,38607.9441,20422.8424,41425.16848,RE-3,4174,IT-E,48056,NA,23743,20214,1524,46.06230460940836
467,4307,16896.0192,14478.20525,58150.06988,33766.2514,42533.5227,35805.31951,RE-8,3995,IT-3,46126,30832.384,20784,17169,1527,33.94947755732403
468,5456,13984.5723,2567.04354,13364.56787,54530.2691,41122.6527,38642.30469,RE-F,4449,IT-C,34250,29428.163,1465,12299,1140,-15.352101523229017
469,6862,7650.931,26819.31228,28750.05664,37066.4223,40226.1186,18355.82344,RE-6,2112,IT-C,76060,23812.186,18082,12668,1152,-6.105342073948752
470,6347,15092.4814,5012.91856,23108.67173,62335.4449,45959.7538,19892.17324,RE-10,618,IT-6,68416,18255.467,31441,15517,2012,30.681769995962384
471,5870,5114.2836,8792.08688,31116.55821,63910.9961,26566.5544,19105.1147,RE-D,4950,IT-E,50515,36687.587,30494,12718,1309,0.17608014797718496
472,5241,2259.127,2609.91644,23607.8772,51208.7428,43534.894,46796.57168,RE-0,3029,IT-D,40903,23639.575,13338,21800,1263,-8.707972754343505
473,5784,18077.5439,7186.12914,57017.43985,33819.9244,34878.7596,22505.01423,RE-F,789,IT-E,69813,28717.221,15616,14792,1211,21.43633185173541
474,4309,12303.6755,27308.43916,42648.50746,27838.227,38346.6012,9099.43689,RE-2,4336,IT-F,38360,14633.492,16794,20396,853,-36.30121036089955
475,6060,11535.2378,13168.71312,27152.92441,32721.7632,40553.2166,51707.21234,RE-C,4744,IT-C,53989,33703.632,16236,13451,1209,29.008226403978885
476,7119,3153.2857,32702.5132,56528.58508,13342.2701,50861.294,34741.04072,RE-F,2053,IT-7,46124,31847.113,1831,18426,1537,23.164088892149977
477,5711,13761.2084,9795.69397,48096.62708,14644.0433,21727.013,38595.02737,RE-2,1278,IT-9,72102,19762.265,22475,16041,1381,22.554861898209317
478,5582,4553.345,13892.73622,38328.92502,31308.2211,30028.5906,23487.61477,RE-7,3785,IT-5,68044,26611.601,33096,18334,1252,5.566142691118781
479,5384,4553.1343,17461.9758,33000.22563,62184.349,42132.5684,40010.16629,RE-6,1177,IT-3,13988,29585.031,30339,18587,1738,1.168506704875342
480,5353,12882.5047,6755.21736,30115.89464,53169.6615,24267.4576,16464.04147,RE-F,2182,IT-0,32679,23873.441,13721,9645,1483,-35.92925216635267
481,4800,2118.5934,19887.35052,27394.86371,45759.1515,37472.1633,30654.58592,RE-0,3388,IT-9,45911,NA,9401,11272,1236,-36.105583676157636
482,5641,9279.2019,24677.24977,17464.81938,48011.5223,42089.5039,16845.57102,RE-3,3716,IT-11,61027,23344.285,34010,12779,1373,9.80963009934183
483,3238,2482.8468,21619.79866,19052.77315,63116.5604,8625.7129,23528.1719,RE-3,727,IT-3,65298,33480.895,16936,17728,1905,24.498484745957136
484,4019,11384.6052,4069.83039,47655.28695,56377.9344,65458.2974,50501.63739,RE-10,1376,IT-9,44315,25899.623,18104,7643,1503,12.670047205384636
485,4995,3983.4156,35619.54535,58288.82901,16525.7436,30104.3527,37097.15192,RE-D,3721,IT-E,41941,27378.666,20077,15510,1392,12.107465654766786
486,4172,13940.847,27158.86402,52216.11737,44136.7211,19220.0472,46276.28977,RE-E,3653,IT-10,52436,30119.797,20005,12986,1084,15.609342760847035
487,3569,17822.6537,27639.76803,39697.59139,42513.6603,43755.2062,31981.83735,RE-7,3879,IT-1,36324,23698.808,459,10096,1390,-4.798693545665221
488,6314,8243.8177,24364.28016,24877.47224,52260.2455,46831.7179,25073.94757,RE-10,4659,IT-B,30360,NA,29762,8140,1191,-37.8816395924523
489,5577,4839.247,20089.38682,13917.84232,62354.5532,14539.3569,9860.24059,RE-5,4010,IT-E,72672,15194.959,9309,12526,951,-53.94737204396961
490,5963,3361.2659,2740.7754,52707.09235,51791.9441,23813.5591,39615.04799,RE-0,669,IT-12,72743,23953.503,24151,12159,1408,6.0591889030354835
491,5065,18427.5792,35648.73734,35485.15151,48729.0158,21575.661,41488.01226,RE-8,2320,IT-D,68154,18667.867,19515,12228,1300,19.850488229131663
492,5943,8052.8357,12294.91101,27304.62499,53041.1401,11845.6778,38298.86658,RE-B,1038,IT-6,29643,23401.524,30088,15788,1239,-30.735506173428647
493,6083,1841.4245,14982.41698,27771.93612,69550.958,30476.6584,32860.93587,RE-1,3645,IT-12,59272,27243.697,29758,10111,1935,20.0880407683545
494,4619,4258.2416,11203.90091,17251.67199,38504.9419,40796.2536,36981.55586,RE-5,2896,IT-12,27104,24208.71,15071,15991,1274,-12.838477338942955
495,5833,5285.1675,14548.43908,34018.18683,58103.006,33963.5761,33159.56793,RE-E,3202,IT-7,58610,20713.251,28872,16402,1475,-3.482586781191414
496,4381,5249.7616,32065.38667,47803.31605,39470.3212,26051.835,32254.99035,RE-D,4942,IT-3,36259,20418.139,26146,13750,1310,-36.38401031346962
497,6205,14394.902,32525.06663,18148.7755,31048.739,18061.538,27009.91636,RE-D,3958,IT-0,33305,29031.456,12131,13780,1530,17.68756622987901
498,7499,10788.2868,9777.81658,13731.39726,49888.5966,33875.6072,30713.73783,RE-9,1817,IT-10,38332,26598.397,2891,16692,1177,-26.46444342152319
499,6378,5401.4314,44171.09316,15180.44477,38959.1879,33593.4595,35169.62044,RE-B,1737,IT-9,50524,38895.995,30902,9466,928,-3.712653971588087
500,5253,1935.0779,4188.77968,5737.70726,29045.73,40549.7004,13336.06917,RE-F,4198,IT-6,20623,34595.508,22703,13626,1699,-14.60103194446771
501,7262,4068.8425,29458.58103,28284.27806,16944.5735,66722.2197,39491.79407,RE-C,3128,IT-B,47726,31259.392,5697,7908,1330,12.175869612155605
502,5948,9317.6195,10490.87817,8990.0536,52246.296,34118.2211,35606.61995,RE-10,2797,IT-4,33320,23434.658,22364,10642,1420,-21.046026484832204
503,4898,13594.4334,7926.04497,38850.50322,61421.8551,45666.1849,17743.44234,RE-5,2784,IT-B,50571,24197.542,29000,13101,1034,-23.607358422153176
504,6228,10310.3229,30332.98629,16979.22691,66241.3711,50012.6469,28131.9752,RE-D,1631,IT-F,40167,31485.86,5543,13195,1512,-17.4468387762968
505,4059,7154.0761,8958.28278,43908.67934,31849.2627,26088.0463,13263.5543,RE-C,4793,IT-D,56221,29029.224,28168,14211,726,-28.956680360942762
506,3504,13782.1585,3646.55678,25338.84078,41953.2588,20598.4258,37809.69897,RE-10,3362,IT-4,23371,NA,21673,17605,1508,-9.974589704914408
507,5182,7506.0162,35184.63295,45552.65737,26564.4391,69183.9756,45255.30758,RE-11,2995,IT-4,61334,25646.309,25727,19727,1678,55.628266513472454
508,4130,3589.4488,19443.06511,9929.10657,27253.5375,11643.8894,38959.60626,RE-1,1226,IT-D,52521,26422.334,21250,25751,1379,11.146626166393533
509,5553,13628.2229,16095.15738,45185.38316,48402.7857,31994.7599,33155.55791,RE-1,2992,IT-4,47481,23635.788,31173,12630,1298,-5.715066111530135
510,5662,2634.0824,40176.94463,21260.31156,55321.903,49587.6334,33162.12064,RE-8,2390,IT-1,14394,36201.889,20816,19660,1402,-2.8249182748567567
511,4801,17333.2423,34082.81021,10197.28899,38172.6222,37092.7814,42691.30767,RE-0,3537,IT-D,74211,19837.95,16926,16445,1460,45.31169063453451
512,5579,12462.4155,28924.44061,2352.57628,25369.7071,31164.117,34950.36947,RE-5,3612,IT-9,23725,32461.318,8349,6933,987,-28.210149160092136
513,6468,1334.316,17143.44025,50363.96447,33857.3431,39023.0618,35423.86873,RE-4,4190,IT-B,77031,9338.057,25066,18938,1442,4.902981961654373
514,5490,17361.925,26053.27142,48603.677,61308.4892,34990.2532,36334.27759,RE-C,4820,IT-0,54724,24204.983,9420,15574,1819,24.432520228905855
515,4587,11715.1212,40069.36726,15730.70356,53738.5768,32194.1232,27460.86273,RE-2,2586,IT-9,46760,22787.751,8981,14514,1166,-15.451215228203692
516,4946,14813.4144,28983.01037,25045.15551,51085.6521,40309.7613,22765.97443,RE-9,3145,IT-C,48192,20522.781,21767,20580,1869,34.128215941911364
517,3333,14928.5792,1325.35843,48572.74991,36959.8953,46133.7487,39500.02462,RE-11,1569,IT-12,78750,24324.27,9255,11153,1154,22.673461841102597
518,5162,13360.1395,30664.21719,53011.57744,53168.2636,34984.7902,34063.26357,RE-D,3467,IT-11,17525,35528.539,31215,14258,1224,12.903672649820752
519,5947,8028.3677,32331.75583,35723.78406,45355.1439,49852.7307,21743.56629,RE-B,956,IT-10,17499,25175.639,1593,15739,945,-50.85628830756913
520,4954,11291.9724,30442.51673,28579.22356,44447.3629,40068.603,47372.98288,RE-10,1620,IT-F,28708,41749.927,15880,23453,1564,53.767177492477785
521,5860,16258.3895,7585.43988,45012.8531,34511.7748,30287.9865,25569.53916,RE-6,3601,IT-7,70361,28592.443,6417,12399,1182,6.0929109290670675
522,5026,12167.3652,12111.7584,57232.50063,43344.7193,48226.4382,27497.5782,RE-0,2786,IT-9,48155,17829.45,10132,27681,1406,-7.654193484328158
523,6457,11975.7055,14066.99681,47540.20809,42786.1885,33796.7452,26220.81291,RE-7,570,IT-9,45898,27829.992,16727,9386,1391,-4.7811458040359645
524,3175,1716.545,39214.16951,29524.40692,52116.6369,38478.1484,26083.96784,RE-F,4677,IT-B,36080,15376.376,16438,17124,1354,-33.666426133111294
525,7606,11354.8873,22203.60347,20606.88828,37462.7763,36759.6949,39682.60837,RE-2,502,IT-7,70368,24054.1,1147,22982,1038,2.769458753390244
526,6123,3951.3003,8623.97036,14375.78413,39204.508,25959.886,35804.96724,RE-9,2249,IT-3,54863,18076.452,8209,22097,1171,-34.765345782797375
527,3427,13294.044,9369.04526,60318.00543,48867.6251,45732.4872,38858.85152,RE-A,1510,IT-3,62717,33599.516,27899,24065,1080,25.44102364659812
528,3420,9472.7641,15163.07093,24797.07404,57942.8187,55155.8229,31658.52817,RE-9,4808,IT-9,53521,29649.043,657,15773,1258,22.421781422351486
529,4011,1627.5346,21525.07298,59552.38156,45440.8905,38931.4316,22641.56656,RE-9,2604,IT-5,36841,18731.928,27149,7853,1660,-30.31246570289296
530,7115,5660.3103,37541.01895,24532.1126,37964.283,33321.0786,40536.96445,RE-F,1548,IT-7,57871,32557.916,20148,12823,1376,16.039368789802566
