metal,shape,height,length,width,weight
platinum,box,7,9,10,13286.7
silver,box,9,6,5,2832.3
silver,sphere,8,8,8,2812.19
tin,sphere,2,2,2,30.62
gold,sphere,3,3,3,273.13
silver,cylinder,2,6,6,593.2
tin,box,7,6,7,2149.14
gold,sphere,9,9,9,7374.51
gold,cylinder,1,4,4,242.78
bronze,box,8,4,3,891.84
silver,sphere,8,8,8,2812.19
gold,sphere,1,1,1,10.12
platinum,box,9,4,6,4555.44
bronze,sphere,2,2,2,38.91
bronze,sphere,9,9,9,3546.03
silver,sphere,2,2,2,43.94
gold,sphere,8,8,8,5179.36
silver,box,2,4,8,671.36
platinum,sphere,6,6,6,2385.22
gold,sphere,7,7,7,3469.76
tin,box,7,1,2,102.34
bronze,box,2,5,9,836.1
tin,cylinder,3,6,6,620.06
bronze,sphere,2,2,2,38.91
platinum,sphere,4,4,4,706.73
platinum,cylinder,9,6,6,5366.75
platinum,cylinder,7,10,10,11594.83
silver,box,3,9,6,1699.38
silver,sphere,10,10,10,5492.55
bronze,sphere,7,7,7,1668.43
bronze,sphere,1,1,1,4.86
gold,box,9,9,8,12519.36
silver,sphere,6,6,6,1186.39
silver,cylinder,5,1,1,41.19
tin,box,1,6,3,131.58
silver,sphere,1,1,1,5.49
bronze,cylinder,4,2,2,116.74
tin,cylinder,10,9,9,4650.42
platinum,cylinder,2,9,9,2683.38
platinum,box,6,10,8,10123.2
bronze,cylinder,2,5,5,364.82
platinum,sphere,2,2,2,88.34
bronze,box,1,5,6,278.7
bronze,cylinder,4,2,2,116.74
platinum,box,4,10,5,4218.0
gold,box,9,9,9,14084.28
gold,cylinder,5,1,1,75.87
tin,cylinder,7,1,1,40.19
bronze,box,2,10,7,1300.6
bronze,box,3,8,1,222.96
gold,cylinder,10,3,3,1365.65
gold,cylinder,8,9,9,9832.68
bronze,box,2,4,2,148.64
platinum,cylinder,5,9,9,6708.44
platinum,cylinder,7,3,3,1043.53
platinum,cylinder,10,4,4,2650.25
silver,cylinder,7,2,2,230.69
platinum,sphere,5,5,5,1380.34
gold,sphere,1,1,1,10.12
platinum,box,4,3,8,2024.64
silver,box,8,2,2,335.68
tin,cylinder,2,9,9,930.08
gold,box,4,1,6,463.68
gold,box,8,3,6,2782.08
platinum,box,8,4,2,1349.76
gold,sphere,5,5,5,1264.49
bronze,box,1,5,3,139.35
tin,sphere,7,7,7,1312.83
bronze,box,4,2,2,148.64
silver,cylinder,6,9,9,4004.07
tin,box,10,4,5,1462.0
gold,box,6,9,9,9389.52
platinum,box,8,7,5,5905.2
silver,box,6,1,4,251.76
silver,sphere,4,4,4,351.52
bronze,sphere,7,7,7,1668.43
gold,cylinder,3,7,7,2230.56
platinum,cylinder,2,9,9,2683.38
tin,box,3,8,3,526.32
platinum,sphere,3,3,3,298.15
gold,cylinder,6,1,1,91.04
bronze,cylinder,1,3,3,65.67
tin,box,7,3,1,153.51
tin,box,4,10,9,2631.6
platinum,cylinder,10,8,8,10600.99
tin,sphere,6,6,6,826.74
silver,sphere,1,1,1,5.49
platinum,cylinder,5,10,10,8282.02
gold,sphere,5,5,5,1264.49
silver,sphere,9,9,9,4004.07
gold,sphere,9,9,9,7374.51
silver,sphere,1,1,1,5.49
platinum,box,1,10,8,1687.2
silver,sphere,1,1,1,5.49
platinum,sphere,3,3,3,298.15
bronze,box,1,9,7,585.27
silver,cylinder,2,9,9,1334.69
platinum,sphere,2,2,2,88.34
platinum,sphere,8,8,8,5653.86
gold,sphere,2,2,2,80.93
gold,cylinder,4,2,2,242.78
bronze,box,2,1,3,55.74
bronze,box,2,2,9,334.44
tin,cylinder,8,6,6,1653.48
tin,cylinder,8,9,9,3720.34
bronze,sphere,6,6,6,1050.67
silver,box,1,3,10,314.7
tin,sphere,6,6,6,826.74
platinum,cylinder,9,1,1,149.08
bronze,cylinder,3,5,5,547.23
gold,sphere,10,10,10,10115.93
bronze,box,10,7,3,1950.9
platinum,cylinder,6,6,6,3577.83
tin,cylinder,4,4,4,367.44
tin,box,3,3,1,65.79
bronze,sphere,10,10,10,4864.23
silver,cylinder,10,7,7,4037.03
tin,box,2,4,1,58.48
platinum,cylinder,2,6,6,1192.61
gold,box,7,2,9,2434.32
bronze,sphere,9,9,9,3546.03
silver,cylinder,4,1,1,32.96
gold,box,1,1,4,77.28
tin,box,2,3,3,131.58
platinum,box,2,4,3,506.16
bronze,cylinder,6,1,1,43.78
tin,box,6,10,9,3947.4
bronze,cylinder,10,6,6,2626.69
tin,cylinder,3,3,3,155.01
tin,cylinder,4,6,6,826.74
platinum,sphere,6,6,6,2385.22
gold,box,3,3,2,347.76
silver,cylinder,7,10,10,5767.18
tin,cylinder,10,1,1,57.41
gold,cylinder,7,9,9,8603.6
gold,cylinder,1,2,2,60.7
gold,sphere,9,9,9,7374.51
tin,box,2,10,1,146.2
tin,cylinder,7,8,8,2572.08
gold,sphere,5,5,5,1264.49
bronze,sphere,5,5,5,608.03
silver,box,7,5,3,1101.45
bronze,cylinder,6,7,7,2145.13
gold,box,5,9,3,2608.2
gold,sphere,3,3,3,273.13
tin,sphere,5,5,5,478.44
gold,box,2,9,5,1738.8
bronze,sphere,6,6,6,1050.67
bronze,box,3,8,6,1337.76
gold,cylinder,5,9,9,6145.43
tin,box,3,9,4,789.48
platinum,box,1,5,1,105.45
silver,box,7,7,10,5140.1
bronze,box,2,8,4,594.56
gold,cylinder,10,3,3,1365.65
gold,cylinder,5,5,5,1896.74
bronze,box,6,1,7,390.18
gold,cylinder,4,3,3,546.26
silver,sphere,4,4,4,351.52
silver,cylinder,10,3,3,741.49
bronze,box,3,10,9,2508.3
platinum,cylinder,6,8,8,6360.59
silver,box,9,8,9,6797.52
gold,sphere,2,2,2,80.93
platinum,sphere,4,4,4,706.73
gold,sphere,7,7,7,3469.76
bronze,box,5,1,10,464.5
platinum,box,7,10,7,10334.1
silver,cylinder,5,7,7,2018.51
bronze,sphere,9,9,9,3546.03
tin,box,2,9,5,657.9
tin,cylinder,10,1,1,57.41
gold,box,5,1,5,483.0
platinum,box,2,5,7,1476.3
platinum,sphere,6,6,6,2385.22
platinum,sphere,3,3,3,298.15
silver,box,1,3,10,314.7
gold,box,4,2,8,1236.48
tin,sphere,4,4,4,244.96
tin,sphere,9,9,9,2790.25
bronze,box,4,8,2,594.56
tin,cylinder,7,4,4,643.02
platinum,sphere,3,3,3,298.15
gold,cylinder,8,7,7,5948.17
platinum,box,1,7,1,147.63
tin,sphere,3,3,3,103.34
silver,box,2,10,8,1678.4
silver,cylinder,2,1,1,16.48
gold,box,2,7,8,2163.84
gold,box,9,6,9,9389.52
tin,cylinder,4,5,5,574.13
platinum,sphere,6,6,6,2385.22
platinum,box,1,6,4,506.16
gold,cylinder,7,6,6,3823.82
tin,cylinder,8,1,1,45.93
platinum,box,8,3,10,5061.6
silver,cylinder,9,3,3,667.34
tin,sphere,8,8,8,1959.68
platinum,sphere,3,3,3,298.15
platinum,box,6,3,2,759.24
platinum,box,7,7,6,6200.46
tin,sphere,8,8,8,1959.68
gold,box,3,2,10,1159.2
silver,box,1,10,10,1049.0
tin,sphere,2,2,2,30.62
platinum,cylinder,1,3,3,149.08
platinum,box,7,4,1,590.52
bronze,cylinder,10,6,6,2626.69
gold,sphere,7,7,7,3469.76
silver,box,10,1,5,524.5
gold,sphere,8,8,8,5179.36
gold,cylinder,8,3,3,1092.52
bronze,cylinder,6,9,9,3546.03
bronze,cylinder,7,5,5,1276.86
bronze,cylinder,7,6,6,1838.68
platinum,cylinder,6,5,5,2484.61
bronze,box,6,9,3,1504.98
silver,box,2,2,6,251.76
bronze,box,5,7,9,2926.35
platinum,sphere,6,6,6,2385.22
platinum,box,1,5,5,527.25
tin,sphere,5,5,5,478.44
platinum,cylinder,1,3,3,149.08
tin,cylinder,4,9,9,1860.17
platinum,cylinder,9,9,9,12075.19
tin,cylinder,9,2,2,206.69
tin,cylinder,6,7,7,1687.93
gold,box,8,7,2,2163.84
bronze,box,5,8,9,3344.4
silver,box,8,6,9,4531.68
gold,cylinder,4,3,3,546.26
tin,box,8,2,10,1169.6
gold,sphere,5,5,5,1264.49
platinum,sphere,7,7,7,3787.65
gold,cylinder,5,8,8,4855.65
bronze,sphere,6,6,6,1050.67
gold,box,7,6,3,2434.32
gold,cylinder,6,4,4,1456.69
tin,sphere,10,10,10,3827.51
silver,sphere,4,4,4,351.52
silver,box,2,5,8,839.2
tin,box,6,3,3,394.74
tin,cylinder,2,9,9,930.08
tin,box,8,8,7,3274.88
platinum,box,8,3,9,4555.44
tin,box,5,6,4,877.2
bronze,sphere,8,8,8,2490.49
tin,box,1,5,5,182.75
bronze,box,5,9,9,3762.45
silver,cylinder,3,2,2,98.87
tin,cylinder,6,10,10,3444.76
tin,cylinder,5,7,7,1406.61
gold,cylinder,9,9,9,11061.77
silver,sphere,7,7,7,1883.95
bronze,cylinder,4,1,1,29.19
platinum,sphere,3,3,3,298.15
bronze,cylinder,8,6,6,2101.35
gold,box,10,3,7,4057.2
silver,sphere,6,6,6,1186.39
gold,cylinder,8,5,5,3034.78
silver,sphere,5,5,5,686.57
silver,sphere,2,2,2,43.94
platinum,box,10,10,7,14763.0
platinum,cylinder,7,7,7,5681.47
tin,box,5,7,2,511.7
tin,cylinder,7,3,3,361.7
silver,cylinder,2,9,9,1334.69
platinum,box,2,7,6,1771.56
silver,box,7,1,4,293.72
gold,box,9,6,8,8346.24
tin,sphere,7,7,7,1312.83
bronze,sphere,8,8,8,2490.49
silver,box,9,8,8,6042.24
gold,cylinder,5,8,8,4855.65
gold,cylinder,6,4,4,1456.69
tin,cylinder,6,6,6,1240.11
bronze,box,3,9,4,1003.32
tin,sphere,2,2,2,30.62
tin,sphere,4,4,4,244.96
tin,sphere,8,8,8,1959.68
gold,cylinder,10,5,5,3793.47
platinum,sphere,2,2,2,88.34
platinum,cylinder,10,4,4,2650.25
gold,box,7,9,8,9737.28
gold,sphere,3,3,3,273.13
tin,cylinder,6,4,4,551.16
platinum,box,10,5,6,6327.0
tin,box,8,6,2,701.76
silver,cylinder,6,3,3,444.9
bronze,box,6,2,2,222.96
gold,box,7,1,7,946.68
silver,sphere,8,8,8,2812.19
gold,sphere,1,1,1,10.12
bronze,box,4,10,6,2229.6
gold,sphere,7,7,7,3469.76
tin,sphere,4,4,4,244.96
gold,sphere,3,3,3,273.13
bronze,sphere,7,7,7,1668.43
bronze,sphere,9,9,9,3546.03
tin,cylinder,7,3,3,361.7
gold,cylinder,1,5,5,379.35
tin,box,3,8,2,350.88
platinum,sphere,9,9,9,8050.13
platinum,box,1,10,7,1476.3
tin,cylinder,2,8,8,734.88
gold,box,6,3,7,2434.32
tin,box,10,1,5,365.5
tin,box,3,7,5,767.55
gold,cylinder,2,1,1,30.35
silver,sphere,6,6,6,1186.39
silver,cylinder,9,3,3,667.34
gold,box,10,4,5,3864.0
platinum,box,7,9,3,3986.01
bronze,box,4,6,1,222.96
platinum,box,3,2,10,1265.4
silver,cylinder,2,10,10,1647.77
platinum,sphere,4,4,4,706.73
bronze,sphere,1,1,1,4.86
silver,sphere,2,2,2,43.94
gold,cylinder,7,7,7,5204.65
bronze,sphere,2,2,2,38.91
bronze,cylinder,8,9,9,4728.03
gold,sphere,5,5,5,1264.49
bronze,cylinder,9,6,6,2364.02
tin,box,5,7,8,2046.8
gold,box,7,1,9,1217.16
platinum,box,5,1,1,105.45
bronze,box,2,8,2,297.28
bronze,cylinder,8,4,4,933.93
bronze,box,10,6,7,3901.8
platinum,box,5,5,5,2636.25
silver,cylinder,5,8,8,2636.42
bronze,sphere,7,7,7,1668.43
bronze,cylinder,4,8,8,1867.87
tin,box,5,10,9,3289.5
platinum,sphere,2,2,2,88.34
tin,box,5,9,1,328.95
bronze,sphere,3,3,3,131.33
silver,sphere,10,10,10,5492.55
bronze,box,8,2,6,891.84
bronze,sphere,8,8,8,2490.49
platinum,cylinder,9,2,2,596.31
bronze,cylinder,3,2,2,87.56
platinum,cylinder,8,8,8,8480.79
silver,cylinder,2,4,4,263.64
gold,cylinder,2,5,5,758.69
platinum,box,6,10,4,5061.6
gold,cylinder,8,4,4,1942.26
silver,cylinder,5,2,2,164.78
platinum,box,9,2,1,379.62
bronze,cylinder,9,5,5,1641.68
silver,box,9,4,3,1132.92
silver,cylinder,2,1,1,16.48
silver,box,7,10,8,5874.4
bronze,cylinder,7,3,3,459.67
platinum,box,4,10,7,5905.2
silver,sphere,5,5,5,686.57
tin,sphere,1,1,1,3.83
tin,sphere,3,3,3,103.34
tin,cylinder,5,5,5,717.66
gold,box,2,6,4,927.36
silver,box,7,2,10,1468.6
silver,box,5,2,7,734.3
silver,cylinder,6,8,8,3163.71
gold,box,4,9,3,2086.56
silver,cylinder,4,9,9,2669.38
silver,sphere,2,2,2,43.94
tin,cylinder,7,3,3,361.7
silver,sphere,4,4,4,351.52
gold,cylinder,10,3,3,1365.65
silver,sphere,8,8,8,2812.19
platinum,sphere,7,7,7,3787.65
tin,sphere,3,3,3,103.34
tin,box,5,5,8,1462.0
silver,cylinder,6,10,10,4943.3
silver,box,9,3,6,1699.38
gold,cylinder,3,1,1,45.52
tin,sphere,7,7,7,1312.83
tin,cylinder,1,9,9,465.04
bronze,sphere,9,9,9,3546.03
tin,cylinder,7,2,2,160.76
silver,box,4,1,1,41.96
platinum,box,4,3,7,1771.56
platinum,cylinder,10,3,3,1490.76
silver,sphere,7,7,7,1883.95
tin,box,4,2,1,58.48
bronze,sphere,5,5,5,608.03
silver,box,1,3,1,31.47
tin,cylinder,5,9,9,2325.21
silver,box,7,9,6,3965.22
silver,cylinder,8,4,4,1054.57
silver,sphere,3,3,3,148.3
tin,sphere,2,2,2,30.62
silver,sphere,8,8,8,2812.19
bronze,sphere,1,1,1,4.86
gold,sphere,3,3,3,273.13
bronze,sphere,7,7,7,1668.43
gold,box,1,4,2,154.56
silver,cylinder,10,3,3,741.49
gold,sphere,10,10,10,10115.93
tin,box,2,3,9,394.74
platinum,cylinder,4,1,1,66.26
gold,sphere,3,3,3,273.13
bronze,sphere,3,3,3,131.33
tin,box,2,10,2,292.4
tin,sphere,10,10,10,3827.51
platinum,sphere,6,6,6,2385.22
platinum,sphere,9,9,9,8050.13
platinum,sphere,2,2,2,88.34
tin,cylinder,1,4,4,91.86
gold,cylinder,3,9,9,3687.26
bronze,sphere,9,9,9,3546.03
silver,cylinder,2,5,5,411.94
gold,sphere,3,3,3,273.13
silver,box,1,5,4,209.8
tin,box,6,4,9,1578.96
platinum,box,3,3,1,189.81
silver,box,8,4,2,671.36
tin,box,7,9,4,1842.12
tin,box,8,6,3,1052.64
bronze,box,7,8,5,2601.2
tin,sphere,2,2,2,30.62
bronze,sphere,9,9,9,3546.03
silver,sphere,1,1,1,5.49
bronze,cylinder,2,3,3,131.33
bronze,cylinder,1,5,5,182.41
silver,sphere,4,4,4,351.52
gold,sphere,4,4,4,647.42
tin,sphere,2,2,2,30.62
gold,box,1,4,1,77.28
tin,cylinder,10,1,1,57.41
gold,box,2,4,6,927.36
silver,box,7,1,10,734.3
platinum,cylinder,2,8,8,2120.2
platinum,box,6,10,8,10123.2
platinum,sphere,1,1,1,11.04
tin,box,7,1,5,255.85
platinum,cylinder,2,3,3,298.15
platinum,sphere,6,6,6,2385.22
platinum,cylinder,2,3,3,298.15
gold,sphere,4,4,4,647.42
platinum,box,7,6,1,885.78
bronze,box,1,5,8,371.6
tin,box,1,7,8,409.36
tin,box,3,9,4,789.48
gold,box,2,2,3,231.84
silver,box,2,8,9,1510.56
tin,sphere,9,9,9,2790.25
tin,box,9,9,2,1184.22
silver,sphere,1,1,1,5.49
bronze,sphere,5,5,5,608.03
gold,sphere,5,5,5,1264.49
silver,box,3,10,1,314.7
bronze,sphere,3,3,3,131.33
silver,box,7,5,6,2202.9
gold,sphere,5,5,5,1264.49
platinum,sphere,7,7,7,3787.65
tin,cylinder,6,6,6,1240.11
gold,box,6,6,5,3477.6
silver,cylinder,10,6,6,2965.98
silver,box,5,10,2,1049.0
silver,sphere,1,1,1,5.49
tin,cylinder,1,1,1,5.74
tin,cylinder,7,6,6,1446.8
silver,box,6,1,5,314.7
silver,sphere,2,2,2,43.94
gold,box,1,9,4,695.52
gold,box,1,9,3,521.64
silver,cylinder,8,5,5,1647.77
silver,sphere,4,4,4,351.52
silver,cylinder,2,1,1,16.48
silver,box,6,4,4,1007.04
tin,sphere,6,6,6,826.74
bronze,sphere,9,9,9,3546.03
tin,sphere,3,3,3,103.34
silver,sphere,10,10,10,5492.55
bronze,box,8,7,6,3121.44
tin,sphere,10,10,10,3827.51
platinum,sphere,10,10,10,11042.7
bronze,sphere,9,9,9,3546.03
platinum,sphere,2,2,2,88.34
bronze,sphere,9,9,9,3546.03
platinum,cylinder,10,8,8,10600.99
platinum,cylinder,9,7,7,7304.74
silver,box,6,4,9,2265.84
gold,cylinder,8,9,9,9832.68
bronze,sphere,10,10,10,4864.23
silver,sphere,1,1,1,5.49
silver,cylinder,5,7,7,2018.51
bronze,cylinder,5,8,8,2334.83
gold,box,9,2,6,2086.56
gold,sphere,3,3,3,273.13
platinum,cylinder,5,8,8,5300.5
tin,sphere,7,7,7,1312.83
gold,sphere,3,3,3,273.13
gold,sphere,4,4,4,647.42
tin,cylinder,7,3,3,361.7
bronze,cylinder,3,6,6,788.01
tin,sphere,3,3,3,103.34
silver,box,7,7,8,4112.08
bronze,sphere,3,3,3,131.33
platinum,box,9,2,2,759.24
gold,cylinder,10,6,6,5462.6
tin,sphere,10,10,10,3827.51
tin,box,1,8,3,175.44
bronze,box,3,10,6,1672.2
silver,box,3,4,3,377.64
tin,box,2,10,2,292.4
platinum,box,5,9,5,4745.25
gold,sphere,1,1,1,10.12
silver,cylinder,9,9,9,6006.1
gold,box,2,1,10,386.4
gold,cylinder,10,4,4,2427.82
silver,cylinder,1,1,1,8.24
bronze,sphere,6,6,6,1050.67
tin,box,1,7,6,307.02
platinum,sphere,10,10,10,11042.7
platinum,sphere,6,6,6,2385.22
silver,sphere,1,1,1,5.49
platinum,cylinder,2,5,5,828.2
silver,cylinder,3,8,8,1581.85
silver,box,8,9,3,2265.84
tin,box,1,4,1,29.24
tin,sphere,2,2,2,30.62
bronze,box,10,4,7,2601.2
tin,sphere,8,8,8,1959.68
platinum,cylinder,2,6,6,1192.61
platinum,sphere,3,3,3,298.15
tin,sphere,2,2,2,30.62
silver,box,9,1,8,755.28
bronze,cylinder,5,8,8,2334.83
bronze,cylinder,8,5,5,1459.27
tin,cylinder,9,2,2,206.69
silver,box,6,4,10,2517.6
gold,box,4,2,10,1545.6
gold,cylinder,9,7,7,6691.69
bronze,box,2,1,9,167.22
bronze,cylinder,7,6,6,1838.68
platinum,box,6,2,6,1518.48
silver,sphere,3,3,3,148.3
silver,sphere,8,8,8,2812.19
bronze,sphere,7,7,7,1668.43
tin,box,5,3,7,767.55
bronze,cylinder,10,7,7,3575.21
platinum,box,2,9,6,2277.72
gold,sphere,10,10,10,10115.93
silver,sphere,1,1,1,5.49
platinum,box,10,3,7,4428.9
bronze,sphere,3,3,3,131.33
platinum,box,10,9,9,17082.9
bronze,box,8,9,6,4013.28
silver,box,7,3,4,881.16
gold,box,8,7,4,4327.68
bronze,sphere,9,9,9,3546.03
bronze,box,9,6,3,1504.98
tin,sphere,10,10,10,3827.51
gold,box,7,7,3,2840.04
gold,box,1,4,5,386.4
platinum,box,1,3,6,379.62
platinum,box,10,9,7,13286.7
platinum,cylinder,1,4,4,265.02
tin,cylinder,4,4,4,367.44
silver,cylinder,9,10,10,7414.94
gold,box,10,10,8,15456.0
platinum,sphere,4,4,4,706.73
gold,cylinder,7,6,6,3823.82
bronze,sphere,4,4,4,311.31
platinum,box,4,5,3,1265.4
tin,sphere,7,7,7,1312.83
gold,sphere,10,10,10,10115.93
silver,sphere,8,8,8,2812.19
silver,box,5,4,6,1258.8
bronze,cylinder,4,7,7,1430.08
tin,sphere,10,10,10,3827.51
silver,sphere,10,10,10,5492.55
bronze,box,2,6,3,334.44
gold,sphere,7,7,7,3469.76
bronze,box,3,2,8,445.92
gold,box,3,8,5,2318.4
silver,cylinder,9,1,1,74.15
silver,cylinder,3,4,4,395.46
bronze,cylinder,6,2,2,175.11
tin,sphere,10,10,10,3827.51
platinum,sphere,9,9,9,8050.13
silver,cylinder,2,5,5,411.94
bronze,box,9,5,5,2090.25
bronze,cylinder,5,8,8,2334.83
bronze,box,4,2,4,297.28
gold,sphere,8,8,8,5179.36
silver,cylinder,10,2,2,329.55
bronze,cylinder,2,6,6,525.34
tin,box,8,8,6,2807.04
gold,sphere,7,7,7,3469.76
silver,cylinder,6,4,4,790.93
tin,sphere,3,3,3,103.34
platinum,cylinder,1,6,6,596.31
silver,sphere,10,10,10,5492.55
platinum,box,9,6,6,6833.16
platinum,box,2,6,8,2024.64
gold,sphere,1,1,1,10.12
silver,box,6,5,9,2832.3
tin,cylinder,9,5,5,1291.78
silver,cylinder,2,5,5,411.94
bronze,cylinder,8,9,9,4728.03
bronze,sphere,2,2,2,38.91
bronze,sphere,8,8,8,2490.49
silver,sphere,6,6,6,1186.39
platinum,box,10,3,7,4428.9
platinum,cylinder,3,2,2,198.77
platinum,cylinder,8,10,10,13251.24
platinum,box,3,3,7,1328.67
silver,sphere,8,8,8,2812.19
silver,box,9,10,2,1888.2
gold,box,1,10,6,1159.2
tin,box,1,3,7,153.51
gold,sphere,9,9,9,7374.51
platinum,box,4,10,5,4218.0
bronze,cylinder,3,5,5,547.23
platinum,sphere,9,9,9,8050.13
gold,sphere,3,3,3,273.13
bronze,box,2,3,10,557.4
silver,cylinder,4,4,4,527.28
bronze,box,5,5,3,696.75
silver,box,8,3,10,2517.6
bronze,box,8,8,9,5351.04
tin,cylinder,3,5,5,430.59
tin,sphere,8,8,8,1959.68
gold,cylinder,2,3,3,273.13
bronze,sphere,5,5,5,608.03
gold,sphere,10,10,10,10115.93
bronze,box,2,8,5,743.2
gold,box,7,9,1,1217.16
silver,box,6,6,5,1888.2
tin,box,10,5,9,3289.5
silver,sphere,8,8,8,2812.19
tin,sphere,2,2,2,30.62
platinum,cylinder,5,4,4,1325.12
silver,sphere,10,10,10,5492.55
gold,sphere,7,7,7,3469.76
silver,box,5,1,4,209.8
tin,box,4,7,1,204.68
tin,cylinder,10,2,2,229.65
bronze,sphere,6,6,6,1050.67
platinum,sphere,6,6,6,2385.22
bronze,cylinder,7,8,8,3268.76
tin,box,10,9,8,5263.2
gold,sphere,9,9,9,7374.51
tin,cylinder,6,3,3,310.03
bronze,cylinder,5,8,8,2334.83
silver,cylinder,3,3,3,222.45
tin,cylinder,3,4,4,275.58
platinum,sphere,9,9,9,8050.13
gold,box,4,9,3,2086.56
tin,box,10,8,1,584.8
silver,box,3,7,3,660.87
silver,cylinder,4,8,8,2109.14
platinum,sphere,5,5,5,1380.34
silver,sphere,10,10,10,5492.55
bronze,box,3,9,1,250.83
platinum,cylinder,8,2,2,530.05
gold,box,6,9,1,1043.28
bronze,sphere,6,6,6,1050.67
gold,cylinder,3,4,4,728.35
gold,box,4,1,2,154.56
tin,cylinder,6,2,2,137.79
bronze,sphere,9,9,9,3546.03
gold,sphere,2,2,2,80.93
platinum,sphere,2,2,2,88.34
silver,box,8,7,5,2937.2
silver,cylinder,4,4,4,527.28
silver,cylinder,5,10,10,4119.41
silver,cylinder,9,6,6,2669.38
bronze,sphere,2,2,2,38.91
bronze,box,8,10,8,5945.6
tin,cylinder,2,1,1,11.48
platinum,cylinder,4,1,1,66.26
tin,box,1,3,4,87.72
platinum,cylinder,7,8,8,7420.69
tin,sphere,2,2,2,30.62
tin,box,6,5,9,1973.7
bronze,sphere,2,2,2,38.91
gold,cylinder,8,10,10,12139.11
silver,sphere,4,4,4,351.52
gold,box,8,2,9,2782.08
tin,box,2,4,4,233.92
platinum,cylinder,7,8,8,7420.69
gold,cylinder,2,6,6,1092.52
bronze,box,8,7,8,4161.92
bronze,cylinder,1,6,6,262.67
bronze,cylinder,8,4,4,933.93
silver,box,6,10,9,5664.6
silver,cylinder,7,2,2,230.69
silver,sphere,7,7,7,1883.95
bronze,box,8,3,1,222.96
platinum,cylinder,4,9,9,5366.75
tin,cylinder,10,4,4,918.6
platinum,cylinder,2,9,9,2683.38
tin,sphere,8,8,8,1959.68
gold,box,2,9,3,1043.28
platinum,sphere,7,7,7,3787.65
gold,sphere,10,10,10,10115.93
silver,cylinder,4,8,8,2109.14
silver,box,8,2,9,1510.56
tin,cylinder,9,5,5,1291.78
silver,cylinder,8,1,1,65.91
tin,sphere,8,8,8,1959.68
gold,box,1,6,8,927.36
silver,sphere,3,3,3,148.3
silver,cylinder,10,4,4,1318.21
gold,sphere,3,3,3,273.13
platinum,sphere,3,3,3,298.15
bronze,sphere,5,5,5,608.03
tin,sphere,7,7,7,1312.83
tin,sphere,10,10,10,3827.51
platinum,box,2,8,4,1349.76
gold,cylinder,9,4,4,2185.04
platinum,sphere,1,1,1,11.04
platinum,sphere,4,4,4,706.73
platinum,cylinder,5,1,1,82.82
gold,sphere,6,6,6,2185.04
platinum,box,10,7,10,14763.0
silver,cylinder,6,10,10,4943.3
gold,box,8,3,7,3245.76
platinum,box,1,2,3,126.54
gold,box,9,3,7,3651.48
tin,sphere,7,7,7,1312.83
tin,cylinder,5,9,9,2325.21
gold,box,1,10,6,1159.2
tin,cylinder,10,2,2,229.65
gold,box,10,1,3,579.6
platinum,cylinder,1,6,6,596.31
tin,sphere,7,7,7,1312.83
tin,box,8,10,3,1754.4
silver,cylinder,8,3,3,593.2
tin,cylinder,10,6,6,2066.85
platinum,cylinder,3,2,2,198.77
platinum,box,9,7,6,7972.02
tin,sphere,8,8,8,1959.68
platinum,box,9,7,9,11958.03
gold,cylinder,6,2,2,364.17
bronze,sphere,9,9,9,3546.03
silver,sphere,5,5,5,686.57
platinum,box,9,6,1,1138.86
bronze,box,10,4,10,3716.0
tin,box,2,8,3,350.88
bronze,box,10,2,2,371.6
silver,box,5,7,9,3304.35
silver,box,7,9,4,2643.48
platinum,box,1,7,1,147.63
gold,sphere,7,7,7,3469.76
tin,cylinder,2,9,9,930.08
gold,sphere,2,2,2,80.93
gold,box,9,7,1,1217.16
gold,box,5,4,4,1545.6
tin,box,10,2,8,1169.6
gold,cylinder,3,5,5,1138.04
gold,sphere,5,5,5,1264.49
tin,sphere,1,1,1,3.83
platinum,sphere,6,6,6,2385.22
bronze,sphere,4,4,4,311.31
tin,box,10,10,4,2924.0
tin,box,9,9,2,1184.22
gold,box,5,7,2,1352.4
tin,cylinder,2,2,2,45.93
gold,box,6,3,9,3129.84
bronze,sphere,6,6,6,1050.67
gold,cylinder,4,5,5,1517.39
gold,sphere,9,9,9,7374.51
platinum,cylinder,3,9,9,4025.06
platinum,sphere,3,3,3,298.15
platinum,box,4,9,2,1518.48
platinum,box,9,2,4,1518.48
silver,box,10,8,7,5874.4
silver,sphere,2,2,2,43.94
bronze,cylinder,7,4,4,817.19
silver,box,8,5,2,839.2
platinum,box,6,1,7,885.78
silver,cylinder,4,10,10,3295.53
gold,sphere,6,6,6,2185.04
bronze,sphere,2,2,2,38.91
bronze,sphere,4,4,4,311.31
platinum,sphere,10,10,10,11042.7
bronze,sphere,10,10,10,4864.23
bronze,sphere,9,9,9,3546.03
tin,cylinder,1,3,3,51.67
bronze,box,6,10,1,557.4
gold,box,1,4,1,77.28
bronze,cylinder,10,7,7,3575.21
platinum,cylinder,3,1,1,49.69
silver,box,5,3,4,629.4
tin,sphere,9,9,9,2790.25
bronze,cylinder,8,4,4,933.93
bronze,box,3,1,3,83.61
platinum,box,4,3,9,2277.72
platinum,sphere,7,7,7,3787.65
platinum,sphere,4,4,4,706.73
tin,sphere,10,10,10,3827.51
bronze,box,6,6,10,3344.4
